variant,nra,nca,ncb,procs,seconds
collective_sbg,650,650,650,7,0.032807000
collective_sbg,700,700,700,7,0.028219000
collective_sbg,750,750,750,7,0.024923000
collective_sbg,800,800,800,7,0.036337000
collective_sbg,850,850,850,7,0.034496000
collective_sbg,900,900,900,7,0.030991000
collective_sbg,950,950,950,7,0.032318000
collective_sbg,1000,1000,1000,7,0.034872000
collective_sbg,100,100,100,8,0.025907000
collective_sbg,150,150,150,8,0.017336000
collective_sbg,200,200,200,8,0.044117000
collective_sbg,250,250,250,8,0.027639000
collective_sbg,300,300,300,8,0.038024000
collective_sbg,350,350,350,8,0.050784000
collective_sbg,400,400,400,8,0.047632000
collective_sbg,450,450,450,8,0.038814000
collective_sbg,500,500,500,8,0.042484000
collective_sbg,550,550,550,8,0.066911000
collective_sbg,600,600,600,8,0.056699000
collective_sbg,650,650,650,8,0.045735000
collective_sbg,700,700,700,8,0.028428000
collective_sbg,750,750,750,8,0.035068000
collective_sbg,800,800,800,8,0.047568000
collective_sbg,850,850,850,8,0.044043000
collective_sbg,900,900,900,8,0.039042000
collective_sbg,950,950,950,8,0.033375000
collective_sbg,1000,1000,1000,8,0.067836000
p2p_gatherv,100,100,100,2,0.000305000
p2p_gatherv,150,150,150,2,0.000495000
p2p_gatherv,200,200,200,2,0.007742000
p2p_gatherv,250,250,250,2,0.000902000
p2p_gatherv,300,300,300,2,0.000852000
p2p_gatherv,350,350,350,2,0.001011000
p2p_gatherv,400,400,400,2,0.001198000
p2p_gatherv,450,450,450,2,0.004562000
p2p_gatherv,500,500,500,2,0.001831000
p2p_gatherv,550,550,550,2,0.002539000
p2p_gatherv,600,600,600,2,0.002407000
p2p_gatherv,650,650,650,2,0.003182000
p2p_gatherv,700,700,700,2,0.003770000
p2p_gatherv,750,750,750,2,0.005168000
p2p_gatherv,800,800,800,2,0.011781000
p2p_gatherv,850,850,850,2,0.007765000
p2p_gatherv,900,900,900,2,0.006032000
p2p_gatherv,950,950,950,2,0.012627000
p2p_gatherv,1000,1000,1000,2,0.010457000
p2p_gatherv,100,100,100,3,0.004102000
p2p_gatherv,150,150,150,3,0.000755000
p2p_gatherv,200,200,200,3,0.006261000
p2p_gatherv,250,250,250,3,0.001163000
p2p_gatherv,300,300,300,3,0.014547000
p2p_gatherv,350,350,350,3,0.012339000
p2p_gatherv,400,400,400,3,0.007802000
p2p_gatherv,450,450,450,3,0.002188000
p2p_gatherv,500,500,500,3,0.002805000
p2p_gatherv,550,550,550,3,0.010881000
p2p_gatherv,600,600,600,3,0.014287000
p2p_gatherv,650,650,650,3,0.005729000
p2p_gatherv,700,700,700,3,0.017813000
p2p_gatherv,750,750,750,3,0.015002000
p2p_gatherv,800,800,800,3,0.015897000
p2p_gatherv,850,850,850,3,0.015188000
p2p_gatherv,900,900,900,3,0.010533000
p2p_gatherv,950,950,950,3,0.006868000
p2p_gatherv,1000,1000,1000,3,0.007706000
p2p_gatherv,100,100,100,4,0.004989000
p2p_gatherv,150,150,150,4,0.014632000
p2p_gatherv,200,200,200,4,0.008124000
p2p_gatherv,250,250,250,4,0.003943000
p2p_gatherv,300,300,300,4,0.006158000
p2p_gatherv,350,350,350,4,0.018635000
p2p_gatherv,400,400,400,4,0.012118000
p2p_gatherv,450,450,450,4,0.012239000
p2p_gatherv,500,500,500,4,0.017593000
p2p_gatherv,550,550,550,4,0.015516000
p2p_gatherv,600,600,600,4,0.016033000
p2p_gatherv,650,650,650,4,0.008823000
p2p_gatherv,700,700,700,4,0.005661000
p2p_gatherv,750,750,750,4,0.021910000
p2p_gatherv,800,800,800,4,0.015462000
p2p_gatherv,850,850,850,4,0.021680000
p2p_gatherv,900,900,900,4,0.026261000
p2p_gatherv,950,950,950,4,0.019608000
p2p_gatherv,1000,1000,1000,4,0.016717000
p2p_gatherv,100,100,100,5,0.000558000
p2p_gatherv,150,150,150,5,0.012052000
p2p_gatherv,200,200,200,5,0.017094000
p2p_gatherv,250,250,250,5,0.014802000
p2p_gatherv,300,300,300,5,0.012907000
p2p_gatherv,350,350,350,5,0.017232000
p2p_gatherv,400,400,400,5,0.012601000
p2p_gatherv,450,450,450,5,0.004089000
p2p_gatherv,500,500,500,5,0.016008000
p2p_gatherv,550,550,550,5,0.014103000
p2p_gatherv,600,600,600,5,0.019586000
p2p_gatherv,650,650,650,5,0.018255000
p2p_gatherv,700,700,700,5,0.027108000
p2p_gatherv,750,750,750,5,0.021541000
p2p_gatherv,800,800,800,5,0.017600000
p2p_gatherv,850,850,850,5,0.015908000
p2p_gatherv,900,900,900,5,0.015446000
p2p_gatherv,950,950,950,5,0.026351000
p2p_gatherv,1000,1000,1000,5,0.015982000
p2p_gatherv,100,100,100,6,0.000326000
p2p_gatherv,150,150,150,6,0.013230000
p2p_gatherv,200,200,200,6,0.004736000
p2p_gatherv,250,250,250,6,0.015709000
p2p_gatherv,300,300,300,6,0.014656000
p2p_gatherv,350,350,350,6,0.018544000
p2p_gatherv,400,400,400,6,0.022537000
p2p_gatherv,450,450,450,6,0.022932000
p2p_gatherv,500,500,500,6,0.009859000
p2p_gatherv,550,550,550,6,0.028696000
p2p_gatherv,600,600,600,6,0.024344000
p2p_gatherv,650,650,650,6,0.014820000
p2p_gatherv,700,700,700,6,0.031601000
p2p_gatherv,750,750,750,6,0.022289000
p2p_gatherv,800,800,800,6,0.022301000
p2p_gatherv,850,850,850,6,0.033482000
p2p_gatherv,900,900,900,6,0.030503000
p2p_gatherv,950,950,950,6,0.025223000
p2p_gatherv,1000,1000,1000,6,0.032936000
p2p_gatherv,100,100,100,7,0.006334000
p2p_gatherv,150,150,150,7,0.011704000
p2p_gatherv,200,200,200,7,0.013018000
p2p_gatherv,250,250,250,7,0.020252000
p2p_gatherv,300,300,300,7,0.018985000
p2p_gatherv,350,350,350,7,0.021474000
p2p_gatherv,400,400,400,7,0.023736000
p2p_gatherv,450,450,450,7,0.019769000
p2p_gatherv,500,500,500,7,0.020225000
p2p_gatherv,550,550,550,7,0.026623000
p2p_gatherv,600,600,600,7,0.030904000
p2p_gatherv,650,650,650,7,0.036888000
p2p_gatherv,700,700,700,7,0.021618000
p2p_gatherv,750,750,750,7,0.021374000
p2p_gatherv,800,800,800,7,0.024539000
p2p_gatherv,850,850,850,7,0.042114000
p2p_gatherv,900,900,900,7,0.036298000
p2p_gatherv,950,950,950,7,0.043042000
p2p_gatherv,1000,1000,1000,7,0.038844000
p2p_gatherv,100,100,100,8,0.007055000
p2p_gatherv,150,150,150,8,0.012402000
p2p_gatherv,200,200,200,8,0.026720000
p2p_gatherv,250,250,250,8,0.018250000
p2p_gatherv,300,300,300,8,0.023066000
p2p_gatherv,350,350,350,8,0.039820000
p2p_gatherv,400,400,400,8,0.020103000
p2p_gatherv,450,450,450,8,0.033142000
p2p_gatherv,500,500,500,8,0.030965000
p2p_gatherv,550,550,550,8,0.013596000
p2p_gatherv,600,600,600,8,0.039771000
p2p_gatherv,650,650,650,8,0.025617000
p2p_gatherv,700,700,700,8,0.021943000
p2p_gatherv,750,750,750,8,0.033682000
p2p_gatherv,800,800,800,8,0.021440000
p2p_gatherv,850,850,850,8,0.026123000
p2p_gatherv,900,900,900,8,0.014400000
p2p_gatherv,950,950,950,8,0.018403000
p2p_gatherv,1000,1000,1000,8,0.021453000
allgatherv,100,100,100,2,0.000589000
allgatherv,150,150,150,2,0.001097000
allgatherv,200,200,200,2,0.002380000
allgatherv,250,250,250,2,0.001578000
allgatherv,300,300,300,2,0.001312000
allgatherv,350,350,350,2,0.001552000
allgatherv,400,400,400,2,0.002363000
allgatherv,450,450,450,2,0.003029000
allgatherv,500,500,500,2,0.003061000
allgatherv,550,550,550,2,0.003730000
allgatherv,600,600,600,2,0.003624000
allgatherv,650,650,650,2,0.004371000
allgatherv,700,700,700,2,0.004607000
allgatherv,750,750,750,2,0.004839000
allgatherv,800,800,800,2,0.005798000
allgatherv,850,850,850,2,0.007349000
allgatherv,900,900,900,2,0.008034000
allgatherv,950,950,950,2,0.008679000
allgatherv,1000,1000,1000,2,0.009417000
allgatherv,100,100,100,3,0.001428000
allgatherv,150,150,150,3,0.001898000
allgatherv,200,200,200,3,0.002977000
allgatherv,250,250,250,3,0.002256000
allgatherv,300,300,300,3,0.002268000
allgatherv,350,350,350,3,0.002297000
allgatherv,400,400,400,3,0.003320000
allgatherv,450,450,450,3,0.003567000
allgatherv,500,500,500,3,0.003810000
allgatherv,550,550,550,3,0.003973000
allgatherv,600,600,600,3,0.004068000
allgatherv,650,650,650,3,0.004732000
allgatherv,700,700,700,3,0.005600000
allgatherv,750,750,750,3,0.007258000
allgatherv,800,800,800,3,0.006829000
allgatherv,850,850,850,3,0.007723000
allgatherv,900,900,900,3,0.008348000
allgatherv,950,950,950,3,0.009067000
allgatherv,1000,1000,1000,3,0.010220000
allgatherv,100,100,100,4,0.005303000
allgatherv,150,150,150,4,0.006312000
allgatherv,200,200,200,4,0.006520000
allgatherv,250,250,250,4,0.007129000
allgatherv,300,300,300,4,0.005687000
allgatherv,350,350,350,4,0.006492000
allgatherv,400,400,400,4,0.003424000
allgatherv,450,450,450,4,0.003741000
allgatherv,500,500,500,4,0.005187000
allgatherv,550,550,550,4,0.004263000
allgatherv,600,600,600,4,0.005323000
allgatherv,650,650,650,4,0.006782000
allgatherv,700,700,700,4,0.006744000
allgatherv,750,750,750,4,0.007217000
allgatherv,800,800,800,4,0.007537000
allgatherv,850,850,850,4,0.010001000
allgatherv,900,900,900,4,0.009042000
allgatherv,950,950,950,4,0.010563000
allgatherv,1000,1000,1000,4,0.010757000
allgatherv,100,100,100,5,0.004864000
allgatherv,150,150,150,5,0.004829000
allgatherv,200,200,200,5,0.005752000
allgatherv,250,250,250,5,0.004956000
allgatherv,300,300,300,5,0.005574000
allgatherv,350,350,350,5,0.007877000
allgatherv,400,400,400,5,0.004565000
allgatherv,450,450,450,5,0.005624000
allgatherv,500,500,500,5,0.004792000
allgatherv,550,550,550,5,0.005476000
allgatherv,600,600,600,5,0.005789000
allgatherv,650,650,650,5,0.006713000
allgatherv,700,700,700,5,0.007278000
allgatherv,750,750,750,5,0.010238000
allgatherv,800,800,800,5,0.008723000
allgatherv,850,850,850,5,0.010518000
allgatherv,900,900,900,5,0.010857000
allgatherv,950,950,950,5,0.011152000
allgatherv,1000,1000,1000,5,0.011941000
allgatherv,100,100,100,6,0.008258000
allgatherv,150,150,150,6,0.008493000
allgatherv,200,200,200,6,0.008096000
allgatherv,250,250,250,6,0.008061000
allgatherv,300,300,300,6,0.006595000
allgatherv,350,350,350,6,0.006617000
allgatherv,400,400,400,6,0.004982000
allgatherv,450,450,450,6,0.005984000
allgatherv,500,500,500,6,0.008123000
allgatherv,550,550,550,6,0.007049000
allgatherv,600,600,600,6,0.006532000
allgatherv,650,650,650,6,0.007936000
allgatherv,700,700,700,6,0.009135000
allgatherv,750,750,750,6,0.009151000
allgatherv,800,800,800,6,0.010373000
allgatherv,850,850,850,6,0.014032000
allgatherv,900,900,900,6,0.012677000
allgatherv,950,950,950,6,0.012874000
allgatherv,1000,1000,1000,6,0.014180000
allgatherv,100,100,100,7,0.003035000
allgatherv,150,150,150,7,0.005807000
allgatherv,200,200,200,7,0.006139000
allgatherv,250,250,250,7,0.007499000
allgatherv,300,300,300,7,0.006698000
allgatherv,350,350,350,7,0.007486000
allgatherv,400,400,400,7,0.005895000
allgatherv,450,450,450,7,0.007099000
allgatherv,500,500,500,7,0.007348000
allgatherv,550,550,550,7,0.007653000
allgatherv,600,600,600,7,0.010643000
allgatherv,650,650,650,7,0.013133000
allgatherv,700,700,700,7,0.009647000
allgatherv,750,750,750,7,0.011587000
allgatherv,800,800,800,7,0.014302000
allgatherv,850,850,850,7,0.013061000
allgatherv,900,900,900,7,0.014626000
allgatherv,950,950,950,7,0.016992000
allgatherv,1000,1000,1000,7,0.018659000
allgatherv,100,100,100,8,0.005947000
allgatherv,150,150,150,8,0.005809000
allgatherv,200,200,200,8,0.006224000
allgatherv,250,250,250,8,0.011940000
allgatherv,300,300,300,8,0.007468000
allgatherv,350,350,350,8,0.009387000
allgatherv,400,400,400,8,0.008839000
allgatherv,450,450,450,8,0.009022000
allgatherv,500,500,500,8,0.009609000
allgatherv,550,550,550,8,0.011068000
allgatherv,600,600,600,8,0.010430000
allgatherv,650,650,650,8,0.011740000
allgatherv,700,700,700,8,0.012971000
allgatherv,750,750,750,8,0.015229000
allgatherv,800,800,800,8,0.015090000
allgatherv,850,850,850,8,0.030880000
allgatherv,900,900,900,8,0.017246000
allgatherv,950,950,950,8,0.019770000
allgatherv,1000,1000,1000,8,0.017449000
