variant,nra,nca,ncb,procs,seconds
p2p,100,100,100,2,0.000512000
p2p,150,150,150,2,0.000848000
p2p,200,200,200,2,0.001921000
p2p,250,250,250,2,0.001281000
p2p,300,300,300,2,0.000925000
p2p,350,350,350,2,0.001750000
p2p,400,400,400,2,0.001251000
p2p,450,450,450,2,0.002407000
p2p,500,500,500,2,0.001921000
p2p,550,550,550,2,0.002624000
p2p,600,600,600,2,0.003171000
p2p,650,650,650,2,0.004048000
p2p,700,700,700,2,0.003608000
p2p,750,750,750,2,0.003919000
p2p,800,800,800,2,0.005477000
p2p,850,850,850,2,0.007755000
p2p,900,900,900,2,0.006334000
p2p,950,950,950,2,0.006645000
p2p,1000,1000,1000,2,0.007258000
p2p,100,100,100,3,0.002058000
p2p,150,150,150,3,0.001717000
p2p,200,200,200,3,0.001631000
p2p,250,250,250,3,0.001934000
p2p,300,300,300,3,0.001646000
p2p,350,350,350,3,0.002715000
p2p,400,400,400,3,0.002411000
p2p,450,450,450,3,0.002916000
p2p,500,500,500,3,0.003215000
p2p,550,550,550,3,0.003533000
p2p,600,600,600,3,0.003364000
p2p,650,650,650,3,0.004947000
p2p,700,700,700,3,0.005286000
p2p,750,750,750,3,0.006170000
p2p,800,800,800,3,0.006057000
p2p,850,850,850,3,0.007585000
p2p,900,900,900,3,0.007250000
p2p,950,950,950,3,0.007446000
p2p,1000,1000,1000,3,0.007930000
p2p,100,100,100,4,0.001163000
p2p,150,150,150,4,0.001594000
p2p,200,200,200,4,0.001999000
p2p,250,250,250,4,0.002646000
p2p,300,300,300,4,0.002425000
p2p,350,350,350,4,0.002809000
p2p,400,400,400,4,0.002977000
p2p,450,450,450,4,0.003522000
p2p,500,500,500,4,0.003610000
p2p,550,550,550,4,0.004208000
p2p,600,600,600,4,0.005467000
p2p,650,650,650,4,0.005018000
p2p,700,700,700,4,0.005143000
p2p,750,750,750,4,0.006414000
p2p,800,800,800,4,0.007018000
p2p,850,850,850,4,0.008695000
p2p,900,900,900,4,0.009154000
p2p,950,950,950,4,0.009289000
p2p,1000,1000,1000,4,0.008838000
p2p,100,100,100,5,0.001096000
p2p,150,150,150,5,0.001838000
p2p,200,200,200,5,0.002610000
p2p,250,250,250,5,0.002508000
p2p,300,300,300,5,0.004652000
p2p,350,350,350,5,0.003716000
p2p,400,400,400,5,0.004577000
p2p,450,450,450,5,0.004380000
p2p,500,500,500,5,0.005143000
p2p,550,550,550,5,0.004889000
p2p,600,600,600,5,0.005849000
p2p,650,650,650,5,0.006542000
p2p,700,700,700,5,0.006146000
p2p,750,750,750,5,0.007776000
p2p,800,800,800,5,0.007256000
p2p,850,850,850,5,0.009790000
p2p,900,900,900,5,0.008741000
p2p,950,950,950,5,0.009356000
p2p,1000,1000,1000,5,0.011067000
p2p,100,100,100,6,0.000990000
p2p,150,150,150,6,0.001770000
p2p,200,200,200,6,0.002859000
p2p,250,250,250,6,0.003095000
p2p,300,300,300,6,0.003602000
p2p,350,350,350,6,0.004796000
p2p,400,400,400,6,0.004720000
p2p,450,450,450,6,0.005149000
p2p,500,500,500,6,0.006135000
p2p,550,550,550,6,0.006024000
p2p,600,600,600,6,0.005978000
p2p,650,650,650,6,0.006723000
p2p,700,700,700,6,0.007375000
p2p,750,750,750,6,0.008568000
p2p,800,800,800,6,0.007951000
p2p,850,850,850,6,0.010310000
p2p,900,900,900,6,0.010447000
p2p,950,950,950,6,0.010794000
p2p,1000,1000,1000,6,0.011662000
p2p,100,100,100,7,0.000512000
p2p,150,150,150,7,0.001789000
p2p,200,200,200,7,0.003280000
p2p,250,250,250,7,0.003628000
p2p,300,300,300,7,0.005046000
p2p,350,350,350,7,0.004657000
p2p,400,400,400,7,0.005157000
p2p,450,450,450,7,0.005584000
p2p,500,500,500,7,0.006297000
p2p,550,550,550,7,0.006628000
p2p,600,600,600,7,0.008580000
p2p,650,650,650,7,0.008576000
p2p,700,700,700,7,0.008893000
p2p,750,750,750,7,0.010393000
p2p,800,800,800,7,0.010575000
p2p,850,850,850,7,0.011541000
p2p,900,900,900,7,0.012483000
p2p,950,950,950,7,0.013584000
p2p,1000,1000,1000,7,0.014851000
p2p,100,100,100,8,0.001324000
p2p,150,150,150,8,0.002463000
p2p,200,200,200,8,0.004986000
p2p,250,250,250,8,0.005136000
p2p,300,300,300,8,0.008145000
p2p,350,350,350,8,0.006138000
p2p,400,400,400,8,0.007908000
p2p,450,450,450,8,0.007549000
p2p,500,500,500,8,0.011059000
p2p,550,550,550,8,0.007819000
p2p,600,600,600,8,0.008874000
p2p,650,650,650,8,0.009510000
p2p,700,700,700,8,0.010409000
p2p,750,750,750,8,0.010836000
p2p,800,800,800,8,0.021132000
p2p,850,850,850,8,0.041374000
p2p,900,900,900,8,0.032933000
p2p,950,950,950,8,0.033630000
p2p,1000,1000,1000,8,0.034449000
collective_sbg,100,100,100,2,0.000337000
collective_sbg,150,150,150,2,0.003775000
collective_sbg,200,200,200,2,0.011234000
collective_sbg,250,250,250,2,0.000815000
collective_sbg,300,300,300,2,0.000937000
collective_sbg,350,350,350,2,0.001235000
collective_sbg,400,400,400,2,0.005210000
collective_sbg,450,450,450,2,0.001632000
collective_sbg,500,500,500,2,0.007569000
collective_sbg,550,550,550,2,0.010723000
collective_sbg,600,600,600,2,0.002583000
collective_sbg,650,650,650,2,0.003297000
collective_sbg,700,700,700,2,0.004270000
collective_sbg,750,750,750,2,0.004110000
collective_sbg,800,800,800,2,0.011126000
collective_sbg,850,850,850,2,0.007953000
collective_sbg,900,900,900,2,0.012586000
collective_sbg,950,950,950,2,0.007797000
collective_sbg,1000,1000,1000,2,0.008132000
collective_sbg,100,100,100,3,0.003895000
collective_sbg,150,150,150,3,0.010686000
collective_sbg,200,200,200,3,0.010393000
collective_sbg,250,250,250,3,0.009115000
collective_sbg,300,300,300,3,0.008490000
collective_sbg,350,350,350,3,0.001616000
collective_sbg,400,400,400,3,0.001549000
collective_sbg,450,450,450,3,0.002291000
collective_sbg,500,500,500,3,0.016256000
collective_sbg,550,550,550,3,0.013796000
collective_sbg,600,600,600,3,0.010738000
collective_sbg,650,650,650,3,0.012591000
collective_sbg,700,700,700,3,0.007042000
collective_sbg,750,750,750,3,0.017770000
collective_sbg,800,800,800,3,0.017279000
collective_sbg,850,850,850,3,0.016254000
collective_sbg,900,900,900,3,0.013085000
collective_sbg,950,950,950,3,0.014751000
collective_sbg,1000,1000,1000,3,0.016896000
collective_sbg,100,100,100,4,0.009894000
collective_sbg,150,150,150,4,0.006537000
collective_sbg,200,200,200,4,0.036325000
collective_sbg,250,250,250,4,0.025063000
collective_sbg,300,300,300,4,0.025093000
collective_sbg,350,350,350,4,0.019521000
collective_sbg,400,400,400,4,0.010424000
collective_sbg,450,450,450,4,0.006213000
collective_sbg,500,500,500,4,0.012475000
collective_sbg,550,550,550,4,0.005566000
collective_sbg,600,600,600,4,0.020337000
collective_sbg,650,650,650,4,0.016398000
collective_sbg,700,700,700,4,0.020259000
collective_sbg,750,750,750,4,0.023051000
collective_sbg,800,800,800,4,0.017658000
collective_sbg,850,850,850,4,0.019210000
collective_sbg,900,900,900,4,0.026508000
collective_sbg,950,950,950,4,0.018952000
collective_sbg,1000,1000,1000,4,0.025622000
collective_sbg,100,100,100,5,0.024042000
collective_sbg,150,150,150,5,0.021214000
collective_sbg,200,200,200,5,0.018170000
collective_sbg,250,250,250,5,0.048794000
collective_sbg,300,300,300,5,0.048728000
collective_sbg,350,350,350,5,0.032817000
collective_sbg,400,400,400,5,0.020123000
collective_sbg,450,450,450,5,0.011529000
collective_sbg,500,500,500,5,0.008656000
collective_sbg,550,550,550,5,0.014547000
collective_sbg,600,600,600,5,0.012276000
collective_sbg,650,650,650,5,0.024527000
collective_sbg,700,700,700,5,0.014071000
collective_sbg,750,750,750,5,0.020877000
collective_sbg,800,800,800,5,0.024418000
collective_sbg,850,850,850,5,0.029747000
collective_sbg,900,900,900,5,0.015628000
collective_sbg,950,950,950,5,0.020937000
collective_sbg,1000,1000,1000,5,0.028996000
collective_sbg,100,100,100,6,0.030149000
collective_sbg,150,150,150,6,0.018523000
collective_sbg,200,200,200,6,0.012286000
collective_sbg,250,250,250,6,0.032872000
collective_sbg,300,300,300,6,0.038998000
collective_sbg,350,350,350,6,0.056746000
collective_sbg,400,400,400,6,0.016368000
collective_sbg,450,450,450,6,0.014460000
collective_sbg,500,500,500,6,0.019353000
collective_sbg,550,550,550,6,0.014154000
collective_sbg,600,600,600,6,0.025272000
collective_sbg,650,650,650,6,0.008998000
collective_sbg,700,700,700,6,0.019904000
collective_sbg,750,750,750,6,0.020859000
collective_sbg,800,800,800,6,0.032199000
collective_sbg,850,850,850,6,0.023387000
collective_sbg,900,900,900,6,0.023206000
collective_sbg,950,950,950,6,0.025272000
collective_sbg,1000,1000,1000,6,0.028213000
collective_sbg,100,100,100,7,0.038077000
collective_sbg,150,150,150,7,0.026148000
collective_sbg,200,200,200,7,0.021161000
collective_sbg,250,250,250,7,0.058708000
collective_sbg,300,300,300,7,0.053796000
collective_sbg,350,350,350,7,0.044900000
collective_sbg,400,400,400,7,0.025451000
collective_sbg,450,450,450,7,0.012332000
collective_sbg,500,500,500,7,0.012034000
collective_sbg,550,550,550,7,0.026451000
collective_sbg,600,600,600,7,0.027242000
